0,1,2,1805.2675,189.6323000966601
0,1,4,1719.635,176.5253246028191
0,1,5,1647.86,140.2045988822717
0,1,6,1493.0425,131.8275367324853
0,1,7,1357.5675,116.5302889163355
0,1,8,1213.07,94.8633113442493
0,1,9,1068.945,79.78480463253172
0,2,8,1262.9625,108.388445506644
0,2,9,1114.5175,89.76312179241314
0,2,10,984.145,76.01933088591156
0,3,9,1117.855,93.37847273785468
0,3,11,845.1975,69.92698808085689
0,6,11,852.9275,75.59357071482391
