year, MPeople
1900,413
1901.008403361345,360
1902.016806722689,302
1903.025210084034,243
1904.033613445378,238
1905.042016806723,188
1906.050420168067,188
1907.058823529412,103
1908.067226890756,130
1909.075630252101,93
1910.084033613445,156
1911.09243697479,106
1912.100840336135,105
1913.109243697479,122
1914.117647058823,146
1915.126050420168,130
1916.134453781513,86
1917.142857142857,119
1918.151260504202,169
1919.159663865546,179
1920.168067226891,148
1921.176470588235,150
1922.18487394958,149
1923.193277310924,174
1924.201680672269,192
1925.210084033613,236
1926.218487394958,240
1927.226890756303,188
1928.235294117647,233
1929.243697478992,257
1930.252100840336,208
1931.260504201681,228
1932.268907563025,288
1933.27731092437,201
1934.285714285714,145
1935.294117647059,263
1936.302521008403,273
1937.310924369748,196
1938.319327731092,172
1939.327731092437,265
1940.336134453782,207
1941.344537815126,235
1942.35294117647,173
1943.361344537815,116
1944.36974789916,129
1945.378151260504,179
1946.386554621849,166
1947.394957983193,220
1948.403361344538,177
1949.411764705882,205
1950.420168067227,203
1951.428571428571,229
1952.436974789916,140
1953.44537815126,174
1954.453781512605,209
1955.46218487395,181
1956.470588235294,193
1957.478991596639,241
1958.487394957983,184
1959.495798319328,227
1960.504201680672,239
1961.512605042017,217
1962.521008403361,297
1963.529411764706,242
1964.53781512605,266
1965.546218487395,285
1966.55462184874,320
1967.563025210084,319
1968.571428571429,377
1969.579831932773,312
1970.588235294118,340
1971.596638655462,322
1972.605042016807,317
1973.613445378151,333
1974.621848739496,361
1975.63025210084,301
1976.638655462185,363
1977.64705882353,366
1978.655462184874,328
1979.663865546218,355
1980.672268907563,356
1981.680672268908,335
1982.689075630252,373
1983.697478991597,361
1984.705882352941,289
1985.714285714286,391
1986.72268907563,336
1987.731092436975,358
1988.739495798319,392
1989.747899159664,378
1990.756302521008,330
1991.764705882353,347
1992.773109243697,358
1993.781512605042,392
1994.789915966387,351
1995.798319327731,380
1996.806722689076,457
1997.81512605042,440
1998.823529411765,490
1999.831932773109,514
2000.840336134454,563
2001.848739495798,539
2002.857142857143,617
2003.865546218487,557
2004.873949579832,690
2005.882352941177,650
2006.890756302521,670
2007.899159663865,636
2008.90756302521,614
2009.915966386555,635
2010.924369747899,550
2011.932773109244,431
2012.941176470588,415
2013.949579831933,196
2014.957983193277,-67
2015.966386554622,-187
2016.974789915966,-570
2017.983193277311,-878
2018.991596638655,-1291
2020,-1879
