year, MPeople
1900,80.4631611049129
1901.008403361345,81.5214957248907
1902.016806722689,82.5931782993509
1903.025210084034,83.67836996471405
1904.033613445378,84.77723371568216
1905.042016806723,85.88993442566274
1906.050420168067,87.01663886741115
1907.058823529412,88.15751573389856
1908.067226890756,89.31273565937072
1909.075630252101,90.48247124065874
1910.084033613445,91.66689705868987
1911.09243697479,92.86618970023
1912.100840336135,94.08052777985533
1913.109243697479,95.31009196213981
1914.117647058823,96.55506498410277
1915.126050420168,97.81563167784992
1916.134453781513,99.09197899348774
1917.142857142857,100.3842960222515
1918.151260504202,101.6927740198758
1919.159663865546,103.0176064302313
1920.168067226891,104.3589889091654
1921.176470588235,105.7171193486323
1922.18487394958,107.0921979010422
1923.193277310924,108.4844270038849
1924.201680672269,109.8940114045901
1925.210084033613,111.3211581856595
1926.218487394958,112.7660767900507
1927.226890756303,114.2289790468131
1928.235294117647,115.7100791970337
1929.243697478992,117.2095939199806
1930.252100840336,118.7277423595741
1931.260504201681,120.2647461511145
1932.268907563025,121.8208294482735
1933.27731092437,123.3962189503721
1934.285714285714,124.991143929937
1935.294117647059,126.6058362605582
1936.302521008403,128.2405304450014
1937.310924369748,129.8954636436341
1938.319327731092,131.5708757031415
1939.327731092437,133.2670091855175
1940.336134453782,134.9841093973843
1941.344537815126,136.7224244195901
1942.35294117647,138.4822051371061
1943.361344537815,140.2637052692694
1944.36974789916,142.0671814002728
1945.378151260504,143.8928930100344
1946.386554621849,145.7411025053144
1947.394957983193,147.6120752512244
1948.403361344538,149.506079603001
1949.411764705882,151.4233869381119
1950.420168067227,153.3642716887327
1951.428571428571,155.3290113744914
1952.436974789916,157.3178866356068
1953.44537815126,159.3311812663263
1954.453781512605,161.3691822487136
1955.46218487395,163.432179786793
1956.470588235294,165.5204673410195
1957.478991596639,167.6343416631371
1958.487394957983,169.7741028313158
1959.495798319328,171.9400542857741
1960.504201680672,174.1325028646062
1961.512605042017,176.3517588401028
1962.521008403361,178.5981359553822
1963.529411764706,180.8719514613989
1964.53781512605,183.1735261543216
1965.546218487395,185.5031844133099
1966.55462184874,187.8612542386545
1967.563025210084,190.2480672903394
1968.571428571429,192.6639589269154
1969.579831932773,195.1092682448565
1970.588235294118,197.5843381182897
1971.596638655462,200.0895152390581
1972.605042016807,202.6251501572949
1973.613445378151,205.1915973223289
1974.621848739496,207.7892151240416
1975.63025210084,210.4183659346073
1976.638655462185,213.0794161507184
1977.64705882353,215.7727362361346
1978.655462184874,218.4987007647693
1979.663865546218,221.2576884641426
1980.672268907563,224.0500822592584
1981.680672268908,226.8762693170237
1982.689075630252,229.7366410909551
1983.697478991597,232.6315933664882
1984.705882352941,235.5615263066381
1985.714285714286,238.5268444981907
1986.72268907563,241.5279569982839
1987.731092436975,244.5652773815087
1988.739495798319,247.6392237874761
1989.747899159664,250.7502189688463
1990.756302521008,253.898690339832
1991.764705882353,257.0850700252139
1992.773109243697,260.3097949098188
1993.781512605042,263.5733066885206
1994.789915966387,266.8760519166891
1995.798319327731,270.218482061232
1996.806722689076,273.6010535520254
1997.81512605042,277.0242278339863
1998.823529411765,280.4884714195497
1999.831932773109,283.9942559417606
2000.840336134454,287.5420582078166
2001.848739495798,291.1323602532067
2002.857142857143,294.7656493963569
2003.865546218487,298.4424182938016
2004.873949579832,302.1631649959707
2005.882352941177,305.9283930034466
2006.890756302521,309.7386113238383
2007.899159663865,313.5943345291773
2008.90756302521,317.4960828139346
2009.915966386555,321.4443820535691
2010.924369747899,325.4397638636831
2011.932773109244,329.4827656597354
2012.941176470588,333.5739307173552
2013.949579831933,337.7138082332796
2014.957983193277,341.9029533868566
2015.966386554622,346.1419274021752
2016.974789915966,350.4312976108377
2017.983193277311,354.7716375152444
2018.991596638655,359.1635268526398
2020,363.6075516597222
