year, MPeople
1900,75.995
1901.008403361345,77.56653540504534
1902.016806722689,79.1602500551252
1903.025210084034,80.77110429118704
1904.033613445378,82.39405845417832
1905.042016806723,84.02407288504612
1906.050420168067,85.65610792473865
1907.058823529412,87.28512391420298
1908.067226890756,88.90608119438659
1909.075630252101,90.51394010623693
1910.084033613445,92.10366099070144
1911.09243697479,93.6702041887276
1912.100840336135,95.20853004126285
1913.109243697479,96.71359888925465
1914.117647058823,98.18037107365015
1915.126050420168,99.60380693539746
1916.134453781513,100.9788668154437
1917.142857142857,102.3005110547363
1918.151260504202,103.5636999942228
1919.159663865546,104.7633939748505
1920.168067226891,105.8946051105551
1921.176470588235,106.9698965582088
1922.18487394958,108.0448548277245
1923.193277310924,109.1815380525162
1924.201680672269,110.442004365999
1925.210084033613,111.8883119015872
1926.218487394958,113.5825187926951
1927.226890756303,115.5866831727374
1928.235294117647,117.9628631751284
1929.243697478992,120.7731169332827
1930.252100840336,124.0785029080761
1931.260504201681,127.819119183206
1932.268907563025,131.7001407957829
1933.27731092437,135.3997516243761
1934.285714285714,138.5961355475522
1935.294117647059,140.9674764438785
1936.302521008403,142.1919581919225
1937.310924369748,141.9477646702518
1938.319327731092,139.9130797574335
1939.327731092437,135.7660873320353
1940.336134453782,129.1914668579107
1941.344537815126,120.263632916083
1942.35294117647,109.6610895191787
1943.361344537815,98.11430536211911
1944.36974789916,86.35374913982386
1945.378151260504,75.10988954721256
1946.386554621849,65.1131952792048
1947.394957983193,57.09413503072018
1948.403361344538,51.78317749667832
1949.411764705882,49.91079137199881
1950.420168067227,52.18947301064049
1951.428571428571,58.69722324128133
1952.436974789916,68.72312901379061
1953.44537815126,81.50696117443719
1954.453781512605,96.28849056949099
1955.46218487395,112.3074880452219
1956.470588235294,128.8037244478998
1957.478991596639,145.0169706237945
1958.487394957983,160.186997419176
1959.495798319328,173.5535756803141
1960.504201680672,184.3801579187638
1961.512605042017,192.4748749476904
1962.521008403361,198.1905358818556
1963.529411764706,201.9036315013105
1964.53781512605,203.9906525861065
1965.546218487395,204.8280899162949
1966.55462184874,204.7924342719269
1967.563025210084,204.2601764330539
1968.571428571429,203.6078071797272
1969.579831932773,203.211817291998
1970.588235294118,203.4327685087597
1971.596638655462,204.3764043507343
1972.605042016807,205.9435270598407
1973.613445378151,208.0291338338442
1974.621848739496,210.5282218705101
1975.63025210084,213.3357883676035
1976.638655462185,216.3468305228898
1977.64705882353,219.4563455341341
1978.655462184874,222.5593305991018
1979.663865546218,225.5507829155574
1980.672268907563,228.3331651120714
1981.680672268908,230.8957254503063
1982.689075630252,233.2837029229538
1983.697478991597,235.5432697015563
1984.705882352941,237.7205979576561
1985.714285714286,239.8618598627952
1986.72268907563,242.0132275885161
1987.731092436975,244.2208733063609
1988.739495798319,246.5309691878715
1989.747899159664,248.9896874045911
1990.756302521008,251.6381688622701
1991.764705882353,254.4737638199579
1992.773109243697,257.4712750122321
1993.781512605042,260.6053188304925
1994.789915966387,263.8505116661391
1995.798319327731,267.1814699105719
1996.806722689076,270.572809955191
1997.81512605042,273.9991481913954
1998.823529411765,277.4351010105868
1999.831932773109,280.8552848041644
2000.840336134454,284.2343159635281
2001.848739495798,287.5468108800779
2002.857142857143,290.7673859452138
2003.865546218487,293.8706575503357
2004.873949579832,296.8312420868438
2005.882352941177,299.6237559461379
2006.890756302521,302.2228155196174
2007.899159663865,304.6030371986836
2008.90756302521,306.7390373747358
2009.915966386555,308.6054324391739
2010.924369747899,310.176838783398
2011.932773109244,311.4278727988081
2012.941176470588,312.333150876804
2013.949579831933,312.867289408786
2014.957983193277,313.0049047861537
2015.966386554622,312.7206134003074
2016.974789915966,311.989031642647
2017.983193277311,310.7847759045724
2018.991596638655,309.0824625774837
2020,306.8567080527807
